mqtt.js:5 s1: {"acc_x":0.01436521,"acc_y":3.284844637,"acc_z":8.511386871,"rot_x":0.117776416,"rot_y":0.591813207,"rot_z":-0.215834603}
mqtt.js:5 s1: {"acc_x":0.407014281,"acc_y":3.517082214,"acc_z":9.050082207,"rot_x":0.03011026,"rot_y":0.664290965,"rot_z":-0.173999995}
mqtt.js:5 s1: {"acc_x":0.538695395,"acc_y":3.531447411,"acc_z":9.710882187,"rot_x":-0.175865233,"rot_y":0.710122526,"rot_z":-0.417013764}
mqtt.js:5 s1: {"acc_x":0.354341865,"acc_y":3.643975019,"acc_z":10.60631371,"rot_x":-0.130033687,"rot_y":0.869200587,"rot_z":-0.595010698}
mqtt.js:5 s1: {"acc_x":0.282515794,"acc_y":3.878606796,"acc_z":11.34612179,"rot_x":0.058621746,"rot_y":1.077574253,"rot_z":-0.449255735}
mqtt.js:5 s1: {"acc_x":0.754173517,"acc_y":4.01507616,"acc_z":11.76750088,"rot_x":0.0042634,"rot_y":1.18948853,"rot_z":-0.440995395}
mqtt.js:5 s1: {"acc_x":1.010353088,"acc_y":4.031835556,"acc_z":12.38999367,"rot_x":-0.157212853,"rot_y":1.17909646,"rot_z":-0.591013789}
mqtt.js:5 s1: {"acc_x":0.89064306,"acc_y":3.974374771,"acc_z":12.91432381,"rot_x":-0.110049009,"rot_y":1.264098048,"rot_z":-0.603004575}
mqtt.js:5 s1: {"acc_x":1.132457376,"acc_y":3.995922565,"acc_z":13.18008041,"rot_x":0.147353753,"rot_y":1.305666089,"rot_z":-0.523065865}
mqtt.js:5 s1: {"acc_x":1.201889277,"acc_y":4.058171749,"acc_z":13.05797577,"rot_x":0.418346077,"rot_y":1.279819369,"rot_z":-0.405822366}
mqtt.js:5 s1: {"acc_x":1.254561663,"acc_y":4.163516521,"acc_z":12.5647707,"rot_x":0.230490044,"rot_y":1.147387385,"rot_z":-0.387169987}
mqtt.js:5 s1: {"acc_x":1.278503656,"acc_y":4.039018154,"acc_z":12.38281155,"rot_x":-0.331212848,"rot_y":0.973920345,"rot_z":-0.280851454}
mqtt.js:5 s1: {"acc_x":1.89620769,"acc_y":3.174711466,"acc_z":12.29183197,"rot_x":-0.228891268,"rot_y":1.009892821,"rot_z":-0.217966303}
mqtt.js:5 s1: {"acc_x":2.176329374,"acc_y":3.167528868,"acc_z":11.53526402,"rot_x":0.006928025,"rot_y":0.981914222,"rot_z":-0.500150084}
mqtt.js:5 s1: {"acc_x":2.312798738,"acc_y":3.275267839,"acc_z":10.80982113,"rot_x":0.19425115,"rot_y":0.925957143,"rot_z":-0.333611012}
mqtt.js:5 s1: {"acc_x":2.106897593,"acc_y":3.028665066,"acc_z":9.87608242,"rot_x":0.016520673,"rot_y":0.71678406,"rot_z":-0.380774885}
mqtt.js:5 s1: {"acc_x":1.908178806,"acc_y":2.645592928,"acc_z":9.646238327,"rot_x":-0.166006133,"rot_y":0.715185285,"rot_z":-0.11298009}
mqtt.js:5 s1: {"acc_x":2.04464817,"acc_y":2.506729126,"acc_z":8.803479195,"rot_x":-0.069013782,"rot_y":0.552909672,"rot_z":-0.241681471}
